RecipeInstructions,Calories,RecipeServings
"c(""Preheat oven to 350 degrees."", ""Combine flour, granulated sugar, 1/4  cup cocoa,  baking powder and salt in a bowl."", ""Stir in milk, butter and vanilla  until  smooth."", ""Stir in chocolate chips."", ""Spread in ungreased shallow 1  1/2 quart  casserole.  Sprinkle brown sugar and 1/4 cup cocoa on top."", ""Place in oven, pour  boiling water over top."", ""Bake 35 minutes, cool 10 minutes before  serving."", ""Serve with ice cream if desired."")",182.8,10
"c(""Preheat oven to 425 degrees F."", ""Combine first 4 ingredients in a bowl."", ""Firmly press mixture into bottom and 1 inch up sides of a 9-inch springform pan coated with cooking spray."", ""Set aside. Combine 1/2 cup sugar, flour, vanilla, and cheeses;  beat at medium speed of a mixer until well-blended."", ""Add egg whites and 2 tablespoons milk; beat well."", ""Combine 1/2 cup batter, 1 tablespoon milk, 2 tablespoons sugar, and cocoa in a small bowl; stir well."", ""Spoon remaining batter alternately with cocoa mixture into prepared crust. Swirl together using the tip of a knife.  Bake at 425 degrees for 10 minutes."", 
""Reduce oven temperature to 250 degrees; bake 45 minutes or until almost set. Cool completely on a wire rack."", ""Garnish with chocolate syrup and fresh raspberries, if desired."")",122.1,12
"c(""* Also delicious made with red sweet peppers or a combination of red and  green for nice color."", ""Combine all ingredients; if finer texture is desired may be put  through food grinder using fine blade."", ""Cover tightly and chill overnight."", ""Serving Ideas : Serve cold as a relish with meat."", ""Kim C."")",21,10
"c(""Place butter in microwave safe pot and heat on high for 30 seconds or until melted."", ""Add cream and warm on high for approximately 1 minute."", ""Add Parmesan cheese and warm until cheese melts."", ""Add salt and pepper to taste. (If serving with shrimp, you might not need much salt.)."", ""Pour over 4 servings of warm noodles (I use angel hair) and toss to coat. Serve immediately."", ""Notes: I serve it with cubed, grilled or broiled chicken breast mixed in with the noodles or shrimp. Add a green salad and you have a complete meal. I have used margarine and canned Parmesan cheese and it worked fine.""
)",489.9,4
"c(""In a large cook pot place undrained tomatoes, sauerkraut with applesauce and  brown sugar."", ""Bring to a boil."", ""Lower heat and add brisket so that mixture can  cover some of brisket.Cover and simmer until meat is fork tender ( about 3 hours ); spooning sauce over brisket intermittently."", ""When meat is done, place brisket  on serving platter."", ""Remove excess fat from pot. Season sauce to taste ( more  sugar, spices etc. ). Thicken if desired with a bit of cornstarch mixed with  some cold water and add to sauce and cook and stir till thickened."", 
""For best  serving, prepare brisket ahead of time, let cool completely, slice meat, cover  with sauce and refrigerate till needed ( may be frozen ). Gently reheat and  serve slices of meat and sauce."")",232.9,6
"c(""Mix bread and milk together."", ""Add the 2 eggs and the 2 egg yolks with 5 tbsp of sugar and salt."", ""Add to the milk mixture will be the vanilla and butter."", ""Mix well and pour into a slightly greased 1 1/2 quart casserole."", ""Bake in a pie pan of water at 350° oven for 45 minutes."", ""For the Meringue topping: Beat the egg whites until stiff and add the 4 tbsp of sugar to it."", ""Pour in slowly"", ""Top the already baked pudding with it--making swirly peaks for decorations."", ""Bake again at 300° until a golden brown.""
)",487.1,4
"c(""DOUGH Cut butter into salt and flour."", ""Stir in rest of the ingredients and knead to  combine or just process everything until it forms a ball."", ""Let rest covered 1  hour Make balls the size of a walnut, from 2/3  of the dough and line small  muffin tins with the dough."", ""Place 2 tsp. of the cold filling into the lined  tins."", ""Make small balls with the rest of the dough."", ""Flatten them to make lids for the mini pies."", ""Brush tops with egg yolk Bake in preheated 350 F oven for 30 to  35 minutes or until golden brown."", 
""SHRIMP FILLING Clean and devein shrimp, saving heads and shells."", ""Make a broth with the shells  and heads and 2 cups water."", ""Cook 1 hour, uncovered over low heat. Strain broth  and cook it down to 1/2 cup."", ""Cook onions and garlic in olive oil until they  start changing color."", ""Add bell pepper and cook 2 minutes, Add tomatoes, broth  and seasonings and simmer almost to a paste. Add shrimp and cook just until they become opaque. Stir in cornstarch diluted in 2 Tbsp water."", ""Stir until thick."", 
""Add parsley."", ""Let cool before using"", ""NOTES : May use other fillings such as chicken, hearts of palms, cheese Miriam Podcameni Posvolsky Rio de Janeiro"")",329.7,8
"c(""Wash potatoes under cold running water then place in a large saucepan."", ""Cover with salted water, bring to a boil, reduce heat and simmer until soft, uncovered, about 15 minutes."", ""Drain and set aside and allow to cool slightly."", ""Peel potatoes and mash."", ""Add butter and cream and mix well."", ""Meanwhile fry bacon until crisp."", ""Drain on paper towel and set aside. In the same skillet add onion to bacon drippings and saute until soft, about 3 - 5 minutes."", ""Stir in celery, sage and pepper and saute 2 minutes longer."", 
""Add lemon juice. Combine vegetables with mashed potatoes, stir well to combine and refrigerate for 2 hours."", ""Shape potato mixture into 10 patties."", ""Melt 2 tablespoons butter in a large skillet and saute patties until brown and crispy, about 5 minutes per side. Crumble bacon over top and serve.                    - - - - - - - - - - - - - - - - - -"")",480.7,4
"c(""Trim sprouts; halved if desired."", ""In large pot of boiling salted water, cook Brussels sprouts for 8 minutes if whole, 6 minutes if halved, or until barely tender."", ""Drain, refresh under cold running water and drain again."", ""In well-greased 13x9-inch casserole, combine sprouts, dill, vinegar, and salt and pepper to taste; mix well."", ""Bake, covered, in 350°F oven for 10 minutes."", ""Uncover and bake for 5 minutes longer."")",40.9,12
"c(""Grease lined tin with melted butter."", ""Sift flour and baking powder into  processor and add all remaining ingredients."", ""Run machine for 20 counts."", ""Scrape  down sides."", ""Run machine for a further 30 counts."", ""Transfer to prepared tin and spread evenly with a spatula.  Bake at 160° C for 1 1/2 hours."", ""Leave in tin 15 minutes  before turning onto a rack."", ""VARIATIONS Seed cake = Add 2-3 tsp caraway seeds after scraping down the sides."", ""Orange Cake = omit vanilla."", ""Add 1 tsp orange peel."", 
""Lemon Cake = Add 1 tsp lemon peel."", ""Chocolate Speckle Cake = Add 1 crushed Chocolate Flake Bar after scraping down sides."", ""Raisin Cake = Add 3 oz raisins after scraping down sides."", ""Spicy Cake = Add 2-3 tsp Mixed Spice with the other ingredients."")",373.8,8
"c(""Preheat oven."", ""It must be hot to begin the baking."", ""Cut the chocolate and the butter into small pieces and put together in a pan."", ""Cook until butter and chocolate are well melted and mixed (one  or two minutes). Don't let the chocolate burn or it will become too much bitter! I suggest to use always wooden tablespoons, if possible. Add the two cups of sugar and let the preparation get cold."", ""Incorporate the eggs, mixing very well after each one of them."", ""Parfum with the vanilla, the rum and the coffee. Add the nuts and the flour, mixing always very well."", 
""Put this heavy cream into a rectangular bakery pan and bake it for approximately 30 minutes."", ""Serve cold (room temperature).          Serves: about 12 big brownies (for tea time)                 about 24 small ones  (for coffee, after a meal)."")",355.1,12
"c(""Scramble eggs with a small amount of milk."", ""In another pan, crumble sausage and brown."", ""Combine with cheese; cook over low flame until cheese melts."", ""Mix in just enough ketchup until mixture holds together."", ""Warm tortillas in microwave on medium for about 30 seconds until soft enough to roll up without cracking."", ""Place about 1/4 cup egg mixture in tortilla and roll up."", ""Serve with salsa."")",1974,4
"c(""Cake:  Bake according to directions on Super Moist Betty Crocker German Chocolate Cake Mix in 9\""x13\"" pan. Grease and flour pan. After allowing cake to to cool thoroughly, slice in half, making two thin layers. Lay top half aside carefully."", ""Center:  Cut up marshmallows with kitchen shears, (rub blades with margarine to prevent  sticking)."", ""Boil margarine, milk, and sugar together for 3 minutes.   Pour over marshmallows until melted.   Add coconut and stir."", ""Spread this mixture over bottom half of cake. Sprinkle generously with chopped almonds, if desired."", 
""Replace top half of cake."", ""Icing:  Combine sugar, milk and margarine, cook to soft ball stage or until candy  thermometer reaches 238 degrees.  Stir constantly to prevent scorching.    Remove  from heat, stir in chocolate chips, add marshmallow creme and vanilla flavoring.   Beat until well blended."", ""Cool, (not very much). Spread on cake. Sprinkle entire  cake generously with almond  pieces."", ""Cake is better if it sits overnight."")",1001.4,12
"c(""Preheat oven to 325 degrees F."", ""Heat chicken broth to boiling."", ""Combine broth   with brown rice, butter, oregano, marjoram, and summery  savory in 3 quart  casserole and bake, covered, for 1-1/2 hours or until  rice is tender."", ""Keep  hot.   Melt butter in large skillet or dutch oven."", ""Add celery, snow peas,  broccoli, green onion, and ginger and stir fry until crisp-tender."", ""Add  vegetables, lemon rind, and toasted coconut to rice.  Toss lightly  to combine.  Adjust seasonings."")",412.6,6
"c(""In medium-size bowl, stir together orange juice, honey and lemon juice."", ""Add apples, grapes, orange sections and walnuts; toss to coat with juice mixture."", ""Refrigerate or pack into individual containers for lunches and snacks."")",141.4,4
"c(""In a medium bowl, combine the blue cheese and the cream cheese."", ""Beat them together with an electric mixer so that they are smooth."", ""Add the half & half and beat it in so that the mixture is fluffy."", ""Fill the mushroom caps with the cheese mixture."", ""Top each with a pecan half and a basil leaf."")",246.3,4
"c(""Preheat oven to 375F."", ""Leave shells in foil cups and place on a baking sheet. In  large bowl, whisk egg with syrup, juice and vanilla."", ""In another bowl, stir sugar with flour."", ""Divide berries among shells."", ""Pour in egg mixture, filling each shell right to top."", ""Bake on bottom rack at 375F oven until bubbly and top is a bit  crusty, from 18-23 minutes.Tarts will firm up when cool and can be refrigerated  2 days."")",337.9,12
"c(""Open rolls and let stand until they reach room temperature. Heat tomato sauce  with basil and oregano; set aside. Simmer sausages in water to cover for 20  minutes; drain, cool, remove the casings and slice thinly."", ""For each Calzone,  compress half the rolls into a flat cake and roll on a floured board to make an  11-inch diameter circle. Brush lightly with oil and spread half the tomato sauce over half the dough circle to within 1/2 inch of edge. Top sauce with half the  sausage; sprinkle with half the Mozzarella cheese and Romano cheese. Fold plain  half over filling to within 1/4 inch of opposite edge. Roll bottom edge up over  top edge; pinch or crimp together to seal."", 
""Brush with oil."", ""Repeat to make second Calzone. Transfer both Calzones with a wide spatula to a greased baking sheet,  placing slightly apart. Pierce tops in a few places with a fork."", ""Bake in a 500  degrees oven for 6 minutes or until golden brown."", ""*Any brand of biscuits refrigerated dough may be substituted."")",622.8,4
"c(""DRESSING:Separate garlic bulbs into cloves, don't peel."", ""Combine garlic, tomatoes and oil in baking dish."", ""Bake uncovered, in moderately hot oven about 30 minutes, or until tomatoes are soft, gently turning tomato occasionally; cool."", ""Reserve garlic for the dressing."", ""Cut bread into 2 cm squares, combine in a bowl with extra olive oil; mix well."", ""Place bread in single layer on oven tray, toast in moderate oven about 10 minutes."", ""Quarter capsicums, remove seeds and membranes."", ""Grill capsicums, skin side up, until skin blisters and blackens."", 
""Peel away skin, slice capsicums into thick strips."", ""Combine tomatoes, capsicums, basil in a large bowl; toss gently."", ""Add crunchy bread to salad just before serving."", ""DRESSING Squeeze pulp from garlic.  Blend with vinegar and sugar until smooth."", ""Add oil gradually in a thin stream while motor is running."", ""Blend until thick."")",283.9,6
"c(""Cube bread."", ""Set aside in a large mixing bowl."", ""Combine all ingredients except butter."", ""Mix well and pour over bread."", ""Soak bread in milk mixture for 15 minutes."", ""Pour into a 13x9 buttered pan."", ""Top bread mixture, with cut up butter."", ""Bake at 325 for 60-90 minutes or until pudding mixture has risen 1 inch."", ""Serve warm Sauce over bread pudding."", ""Sauce"", ""combine ingredients and add sugar and water until dissolved."", ""Add butter, and simmer until melted."", ""Cook over high heat of 2 minutes."", 
""Add Jack Daniels, and simmer for 3-5 minutes."")",517.6,8
"c(""Combine ground beef and flour in skillet. Add onion and brown."", ""Pour off drippings."", ""Add tomato sauce, ketchup, salt and pepper."", ""Pour into 1 1/2-quart casserole dish."", ""Bake for 10 minutes at 425°F."", ""Top with cheese and biscuits."", ""Bake for 10-15 minutes longer."")",543.5,6
"c(""Brush both sides of the fish with some of the olive oil and place on hot grill, barbecue or hot skillet."", ""Cook 2 to 3 minutes on each side or until  fish is done."", ""In another pan, heat the remaining oil, balsamic vinegar and the mint until just warm."", ""Just before serving, add the garlic to the sauce and spoon over the fish."")",505.8,4
"c(""To make sauce: In large saucepan, heat oil over medium heat until hot. Add onion and salt; cook and stir over low heat 10 minutes."", ""Add tomatoes and thyme; bring  to a broil."", ""Reduce heat; simmer 8 to 10 minutes or until sauce thickens  slightly."", ""Meanwhile shape ground beef into four 1/2-inch thick patties."", ""Sprinkle both sides of patties with black pepper and red pepper; brush lightly with 1  teaspoon oil."", ""Heat large heavy nonstick skillet over medium heat 5 minutes."", ""Place patties in skillet; panbroil 10 to 12 minutes or until centers are no  longer pink, turning once. Spoon approx."", 
""1/2 of sauce onto bottom halves or  rolls; top with patties."", ""Spoon remaining sauce over patties; sprinkle with  parsley."", ""Close with roll tops."", ""Serve immediately."", ""Makes 4 servings (serving size: 1 sandwich). Tip: Mexican-style stewed tomatoes may be substituted for Cajun-style. To grill, place patties on grid over medium, ash-covered coals."", ""Grill uncovered, 11 to 13 minutes or until centers are no longer pink, turning once."")",1012.8,4
"c(""For Pastry: Sift together flour and salt; stir in cornmeal."", ""Cut in shortening until mixture resembles fine crumbs."", ""Stir in grated Cheddar cheese; sprinkle water over mixture gradually, mixing lightly with fork."", ""Shape into ball; flatten on lightly floured surface. Roll to about 1/8\"" thickness."", ""Line 9\"" pie pan; trim and flute edge. Fill and bake as directed below."", ""For Filling: Separate 3 eggs and set whites aside for use in meringue."", ""Beat yolks, adding sugar gradually."", ""Cut butter into flour; add buttermilk, lemon peel and juice. Fold in yolks."", 
""Pour into 9\"" Cornmeal Pie Shell."", ""Bake in hot oven (425°F) 10 minutes; reduce temperature to 350°F and bake 20 to 25 minutes."", ""Cool."", ""To make meringue: Beat 4-5 egg whites in a large bowl with electric mixer on high, until foamy. Gradually add sugar, beating until stiff peaks form. (Amount of sugar actually used will depend on the humidity in the air)."", ""Pile meringue lightly over cooled Butterrmilk filling."", ""Bake in moderate oven (350°F.) 12 to 15 minutes."")",459,8
"c(""Open lamb out flat, place the fat-side down on a board.  Using a meat mallet or  rolling pin pound the lamb to even thickness."", ""Combine herbs, rind, garlic,  pepper and butter in a small bowl; spread the mixture over the fat-side of the  lamb."", ""Place lamb in a large shallow dish, drizzle the juice over.  Cover,  refrigerate 3 hours or overnight."", ""Place the potatoes and onions in a large  roasting dish; drizzle with oil.  Bake uncovered, in a moderately hot oven 20  minutes."", ""Place lamb, fat-side up, over the vegetables in the roasting dish.  Bake uncovered in moderately hot oven about 40 minutes or until lamb doneness as  desired."", 
""Remove the lamb from the dish, cover loosely with foil to keep warm."", ""Drain the excess juices from the pan, bake potatoes and onions in a very hot  oven another 15 minutes or until crisp."", ""Slice lamb and serve with the  vegetables."")",1194.6,4
